ZodiacType,CharacterName,Scene,Line
Dog,戌狗·守门天犬,E,灵鼻踪，有线索。
Dog,戌狗·守门天犬,R1,护心圈，守住你。
Dog,戌狗·守门天犬,大招,天犬守门，安心输出！
Dog,戌狗·守门天犬,击败,越门可不行。
Dog,戌狗·守门天犬,低血量,我还守得住。
Pig,亥猪·岩甲獠牙,登场,福猪到场，站得稳稳。
Pig,亥猪·岩甲獠牙,移动,慢点不怕，稳就行。
Pig,亥猪·岩甲獠牙,普攻,咚一下。
Pig,亥猪·岩甲獠牙,被动,厚甲，稳住！
Pig,亥猪·岩甲獠牙,Q,獠拱，起！
Pig,亥猪·岩甲獠牙,W,岩甲蓄，扛一扛！
Pig,亥猪·岩甲獠牙,E,锤震！
Pig,亥猪·岩甲獠牙,R1,福印落地，大家稳住！
Pig,亥猪·岩甲獠牙,大招,福山不动，谁也推不动！
Pig,亥猪·岩甲獠牙,击败,站得稳，赢得久。
Pig,亥猪·岩甲獠牙,低血量,还稳，还稳。
