"Name","RowId","DataVersion","ZodiacType","ElementType","ElementPassiveSkillId","ElementSkill1Id","ElementSkill2Id","ElementSkill3Id","ElementSkill4Id","ZodiacUltimateSkillId","ElementPassiveInputKey","ElementSkill1InputKey","ElementSkill2InputKey","ElementSkill3InputKey","ElementSkill4InputKey","ZodiacUltimateInputKey","ResonanceInputKey","ElementResonanceLevel","ResonanceElement","ResonanceControlTimeBonus","ResonanceShieldBonus","AbilitySetAsset","DisplayName","Description","Icon","OriginalSourceName","SanitizedName","SanitizedAssetName","bEnabled","bIsInDevelopment","DesignerNotes"
"Rabbit_Fire","Rabbit_Fire","1","Rabbit","Fire","Rabbit_Fire_Passive","Rabbit_Fire_Skill01","Rabbit_Fire_Skill02","Rabbit_Fire_Skill03","Rabbit_Fire_Skill04","Rabbit_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","兔火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rabbit_Fire","Rabbit_Fire","Rabbit_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rabbit_Earth","Rabbit_Earth","1","Rabbit","Earth","Rabbit_Earth_Passive","Rabbit_Earth_Skill01","Rabbit_Earth_Skill02","Rabbit_Earth_Skill03","Rabbit_Earth_Skill04","Rabbit_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","兔土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rabbit_Earth","Rabbit_Earth","Rabbit_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dragon_Gold","Dragon_Gold","1","Dragon","Gold","Dragon_Gold_Passive","Dragon_Gold_Skill01","Dragon_Gold_Skill02","Dragon_Gold_Skill03","Dragon_Gold_Skill04","Dragon_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","龙金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dragon_Gold","Dragon_Gold","Dragon_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dragon_Wood","Dragon_Wood","1","Dragon","Wood","Dragon_Wood_Passive","Dragon_Wood_Skill01","Dragon_Wood_Skill02","Dragon_Wood_Skill03","Dragon_Wood_Skill04","Dragon_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","龙木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dragon_Wood","Dragon_Wood","Dragon_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dragon_Water","Dragon_Water","1","Dragon","Water","Dragon_Water_Passive","Dragon_Water_Skill01","Dragon_Water_Skill02","Dragon_Water_Skill03","Dragon_Water_Skill04","Dragon_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","龙水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dragon_Water","Dragon_Water","Dragon_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dragon_Fire","Dragon_Fire","1","Dragon","Fire","Dragon_Fire_Passive","Dragon_Fire_Skill01","Dragon_Fire_Skill02","Dragon_Fire_Skill03","Dragon_Fire_Skill04","Dragon_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","龙火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dragon_Fire","Dragon_Fire","Dragon_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dragon_Earth","Dragon_Earth","1","Dragon","Earth","Dragon_Earth_Passive","Dragon_Earth_Skill01","Dragon_Earth_Skill02","Dragon_Earth_Skill03","Dragon_Earth_Skill04","Dragon_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","龙土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dragon_Earth","Dragon_Earth","Dragon_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Snake_Gold","Snake_Gold","1","Snake","Gold","Snake_Gold_Passive","Snake_Gold_Skill01","Snake_Gold_Skill02","Snake_Gold_Skill03","Snake_Gold_Skill04","Snake_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","蛇金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Snake_Gold","Snake_Gold","Snake_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Snake_Wood","Snake_Wood","1","Snake","Wood","Snake_Wood_Passive","Snake_Wood_Skill01","Snake_Wood_Skill02","Snake_Wood_Skill03","Snake_Wood_Skill04","Snake_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","蛇木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Snake_Wood","Snake_Wood","Snake_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Snake_Water","Snake_Water","1","Snake","Water","Snake_Water_Passive","Snake_Water_Skill01","Snake_Water_Skill02","Snake_Water_Skill03","Snake_Water_Skill04","Snake_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","蛇水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Snake_Water","Snake_Water","Snake_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Snake_Fire","Snake_Fire","1","Snake","Fire","Snake_Fire_Passive","Snake_Fire_Skill01","Snake_Fire_Skill02","Snake_Fire_Skill03","Snake_Fire_Skill04","Snake_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","蛇火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Snake_Fire","Snake_Fire","Snake_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Snake_Earth","Snake_Earth","1","Snake","Earth","Snake_Earth_Passive","Snake_Earth_Skill01","Snake_Earth_Skill02","Snake_Earth_Skill03","Snake_Earth_Skill04","Snake_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","蛇土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Snake_Earth","Snake_Earth","Snake_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Horse_Gold","Horse_Gold","1","Horse","Gold","Horse_Gold_Passive","Horse_Gold_Skill01","Horse_Gold_Skill02","Horse_Gold_Skill03","Horse_Gold_Skill04","Horse_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","马金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Horse_Gold","Horse_Gold","Horse_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Horse_Wood","Horse_Wood","1","Horse","Wood","Horse_Wood_Passive","Horse_Wood_Skill01","Horse_Wood_Skill02","Horse_Wood_Skill03","Horse_Wood_Skill04","Horse_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","马木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Horse_Wood","Horse_Wood","Horse_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Horse_Water","Horse_Water","1","Horse","Water","Horse_Water_Passive","Horse_Water_Skill01","Horse_Water_Skill02","Horse_Water_Skill03","Horse_Water_Skill04","Horse_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","马水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Horse_Water","Horse_Water","Horse_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Horse_Fire","Horse_Fire","1","Horse","Fire","Horse_Fire_Passive","Horse_Fire_Skill01","Horse_Fire_Skill02","Horse_Fire_Skill03","Horse_Fire_Skill04","Horse_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","马火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Horse_Fire","Horse_Fire","Horse_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Horse_Earth","Horse_Earth","1","Horse","Earth","Horse_Earth_Passive","Horse_Earth_Skill01","Horse_Earth_Skill02","Horse_Earth_Skill03","Horse_Earth_Skill04","Horse_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","马土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Horse_Earth","Horse_Earth","Horse_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Goat_Gold","Goat_Gold","1","Goat","Gold","Goat_Gold_Passive","Goat_Gold_Skill01","Goat_Gold_Skill02","Goat_Gold_Skill03","Goat_Gold_Skill04","Goat_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","羊金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Goat_Gold","Goat_Gold","Goat_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Goat_Wood","Goat_Wood","1","Goat","Wood","Goat_Wood_Passive","Goat_Wood_Skill01","Goat_Wood_Skill02","Goat_Wood_Skill03","Goat_Wood_Skill04","Goat_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","羊木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Goat_Wood","Goat_Wood","Goat_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Goat_Water","Goat_Water","1","Goat","Water","Goat_Water_Passive","Goat_Water_Skill01","Goat_Water_Skill02","Goat_Water_Skill03","Goat_Water_Skill04","Goat_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","羊水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Goat_Water","Goat_Water","Goat_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Goat_Fire","Goat_Fire","1","Goat","Fire","Goat_Fire_Passive","Goat_Fire_Skill01","Goat_Fire_Skill02","Goat_Fire_Skill03","Goat_Fire_Skill04","Goat_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","羊火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Goat_Fire","Goat_Fire","Goat_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Goat_Earth","Goat_Earth","1","Goat","Earth","Goat_Earth_Passive","Goat_Earth_Skill01","Goat_Earth_Skill02","Goat_Earth_Skill03","Goat_Earth_Skill04","Goat_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","羊土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Goat_Earth","Goat_Earth","Goat_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Monkey_Gold","Monkey_Gold","1","Monkey","Gold","Monkey_Gold_Passive","Monkey_Gold_Skill01","Monkey_Gold_Skill02","Monkey_Gold_Skill03","Monkey_Gold_Skill04","Monkey_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","猴金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Monkey_Gold","Monkey_Gold","Monkey_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Monkey_Wood","Monkey_Wood","1","Monkey","Wood","Monkey_Wood_Passive","Monkey_Wood_Skill01","Monkey_Wood_Skill02","Monkey_Wood_Skill03","Monkey_Wood_Skill04","Monkey_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","猴木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Monkey_Wood","Monkey_Wood","Monkey_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Monkey_Water","Monkey_Water","1","Monkey","Water","Monkey_Water_Passive","Monkey_Water_Skill01","Monkey_Water_Skill02","Monkey_Water_Skill03","Monkey_Water_Skill04","Monkey_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","猴水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Monkey_Water","Monkey_Water","Monkey_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Monkey_Fire","Monkey_Fire","1","Monkey","Fire","Monkey_Fire_Passive","Monkey_Fire_Skill01","Monkey_Fire_Skill02","Monkey_Fire_Skill03","Monkey_Fire_Skill04","Monkey_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","猴火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Monkey_Fire","Monkey_Fire","Monkey_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Monkey_Earth","Monkey_Earth","1","Monkey","Earth","Monkey_Earth_Passive","Monkey_Earth_Skill01","Monkey_Earth_Skill02","Monkey_Earth_Skill03","Monkey_Earth_Skill04","Monkey_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","猴土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Monkey_Earth","Monkey_Earth","Monkey_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rooster_Gold","Rooster_Gold","1","Rooster","Gold","Rooster_Gold_Passive","Rooster_Gold_Skill01","Rooster_Gold_Skill02","Rooster_Gold_Skill03","Rooster_Gold_Skill04","Rooster_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","鸡金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rooster_Gold","Rooster_Gold","Rooster_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rooster_Wood","Rooster_Wood","1","Rooster","Wood","Rooster_Wood_Passive","Rooster_Wood_Skill01","Rooster_Wood_Skill02","Rooster_Wood_Skill03","Rooster_Wood_Skill04","Rooster_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","鸡木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rooster_Wood","Rooster_Wood","Rooster_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rooster_Water","Rooster_Water","1","Rooster","Water","Rooster_Water_Passive","Rooster_Water_Skill01","Rooster_Water_Skill02","Rooster_Water_Skill03","Rooster_Water_Skill04","Rooster_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","鸡水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rooster_Water","Rooster_Water","Rooster_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rooster_Fire","Rooster_Fire","1","Rooster","Fire","Rooster_Fire_Passive","Rooster_Fire_Skill01","Rooster_Fire_Skill02","Rooster_Fire_Skill03","Rooster_Fire_Skill04","Rooster_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","鸡火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rooster_Fire","Rooster_Fire","Rooster_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Rooster_Earth","Rooster_Earth","1","Rooster","Earth","Rooster_Earth_Passive","Rooster_Earth_Skill01","Rooster_Earth_Skill02","Rooster_Earth_Skill03","Rooster_Earth_Skill04","Rooster_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","鸡土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Rooster_Earth","Rooster_Earth","Rooster_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dog_Gold","Dog_Gold","1","Dog","Gold","Dog_Gold_Passive","Dog_Gold_Skill01","Dog_Gold_Skill02","Dog_Gold_Skill03","Dog_Gold_Skill04","Dog_Ultimate","","One","Two","Three","Four","Five","","4","Gold","1","20","","犬金固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dog_Gold","Dog_Gold","Dog_Gold","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dog_Wood","Dog_Wood","1","Dog","Wood","Dog_Wood_Passive","Dog_Wood_Skill01","Dog_Wood_Skill02","Dog_Wood_Skill03","Dog_Wood_Skill04","Dog_Ultimate","","One","Two","Three","Four","Five","","4","Wood","1","20","","犬木固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dog_Wood","Dog_Wood","Dog_Wood","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dog_Water","Dog_Water","1","Dog","Water","Dog_Water_Passive","Dog_Water_Skill01","Dog_Water_Skill02","Dog_Water_Skill03","Dog_Water_Skill04","Dog_Ultimate","","One","Two","Three","Four","Five","","4","Water","1","20","","犬水固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dog_Water","Dog_Water","Dog_Water","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dog_Fire","Dog_Fire","1","Dog","Fire","Dog_Fire_Passive","Dog_Fire_Skill01","Dog_Fire_Skill02","Dog_Fire_Skill03","Dog_Fire_Skill04","Dog_Ultimate","","One","Two","Three","Four","Five","","4","Fire","1","20","","犬火固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dog_Fire","Dog_Fire","Dog_Fire","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
"Dog_Earth","Dog_Earth","1","Dog","Earth","Dog_Earth_Passive","Dog_Earth_Skill01","Dog_Earth_Skill02","Dog_Earth_Skill03","Dog_Earth_Skill04","Dog_Ultimate","","One","Two","Three","Four","Five","","4","Earth","1","20","","犬土固定技能组","MVP 阶段由生肖与自然元素之力生成的标准固定技能组。","","Dog_Earth","Dog_Earth","Dog_Earth","True","False","自动生成的 MVP 源表行；后续通过策划评审后的 DataTable 更新补齐数值与资源。"
