Name,SkillID,CharacterID,Zodiac,ZodiacDisplayName,SkillType,DisplayName,EnglishSkillName,BaseCD,CastTime,Range,Radius,Duration,DamageCoefficient,ShieldCoefficient,HealCoefficient,ControlDuration,StackMax,ConditionTag,CounterTag,VFXAssetName,IconAssetName,VoiceLineID,VoiceLineText,NumericInterface,BalanceNote,bEnabled
WhiteLord_Attack,SKL_WhiteLord_SplitClaw,CHRWhiteLord,Tiger,寅虎·啸岭白君,Attack,裂爪,SplitClaw,6,0,0,0,0,0,0,0,0,0,裂甲叠层,可保护;可打断,VFXWhiteLord_SplitClaw,ICOWhiteLord_SplitClaw,VO_WhiteLord_SplitClaw,这一爪，撕开你。,伤害系数、裂甲层数、破甲比例、重伤持续,V2初版骨架；伤害/范围/持续待策划填数,True
WhiteLord_Move,SKL_WhiteLord_PounceKill,CHRWhiteLord,Tiger,寅虎·啸岭白君,Move,扑杀,PounceKill,14,0,0,0,0,0,0,0,0,0,猎物;孤立,可挡线;可拦截,VFXWhiteLord_PounceKill,ICOWhiteLord_PounceKill,VO_WhiteLord_PounceKill,我盯上你了。,突进距离、孤立加成、命中判定、二段限制,V2初版骨架；伤害/范围/持续待策划填数,True
WhiteLord_Control,SKL_WhiteLord_TigerRoar,CHRWhiteLord,Tiger,寅虎·啸岭白君,Control,虎啸,TigerRoar,18,0,0,0,0,0,0,0,0,0,孤立;满裂甲,可保护;可打断,VFXWhiteLord_TigerRoar,ICOWhiteLord_TigerRoar,VO_WhiteLord_TigerRoar,山君不吼第二声。,范围角度、减速比例、失衡时长、满层追加,V2初版骨架；伤害/范围/持续待策划填数,True
WhiteLord_Function,SKL_WhiteLord_OpenHunt,CHRWhiteLord,Tiger,寅虎·啸岭白君,Function,开猎,OpenHunt,22,0,0,0,0,0,0,0,0,0,猎物标记,可保护;可抱团,VFXWhiteLord_OpenHunt,ICOWhiteLord_OpenHunt,VO_WhiteLord_OpenHunt,猎场，开了。,标记时长、方向提示频率、裂甲倍率、换标限制,V2初版骨架；伤害/范围/持续待策划填数,True
WhiteLord_Defense,SKL_WhiteLord_TigerCrouch,CHRWhiteLord,Tiger,寅虎·啸岭白君,Defense,虎踞,TigerCrouch,24,0,0,0,0,0,0,0,0,0,面对猎物,可集火;可控制,VFXWhiteLord_TigerCrouch,ICOWhiteLord_TigerCrouch,VO_WhiteLord_TigerCrouch,别跑，风已经记住你。,减伤比例、韧性、持续时间、强化窗口,V2初版骨架；伤害/范围/持续待策划填数,True
Jadespirit_Attack,SKL_Jadespirit_JadeBlade,CHRJadespirit,Rabbit,卯兔·踏月玉灵,Attack,玉刃,JadeBlade,5,0,0,0,0,0,0,0,0,0,月闪后;月痕,可硬控;可锁定,VFXJadespirit_JadeBlade,ICOJadespirit_JadeBlade,VO_Jadespirit_JadeBlade,刃不重，命却轻。,基础伤害、月痕加成、闪避后加成、攻击前摇,V2初版骨架；伤害/范围/持续待策划填数,True
Jadespirit_Move,SKL_Jadespirit_MoonStep,CHRJadespirit,Rabbit,卯兔·踏月玉灵,Move,踏月,MoonStep,9,0,0,0,0,0,0,0,0,0,闪避窗,可锁定;可预判,VFXJadespirit_MoonStep,ICOJadespirit_MoonStep,VO_Jadespirit_MoonStep,你慢了半拍。,位移距离、闪避窗、返还比例、回身触发条件,V2初版骨架；伤害/范围/持续待策划填数,True
Jadespirit_Control,SKL_Jadespirit_MoonMark,CHRJadespirit,Rabbit,卯兔·踏月玉灵,Control,月痕,MoonMark,12,0,0,0,0,0,0,0,0,0,月痕叠层,可净化;可硬控,VFXJadespirit_MoonMark,ICOJadespirit_MoonMark,VO_Jadespirit_MoonMark,下一步，是弦月。,飞行速度、减速比例、层数阈值、定身时长,V2初版骨架；伤害/范围/持续待策划填数,True
Jadespirit_Function,SKL_Jadespirit_MoonShadow,CHRJadespirit,Rabbit,卯兔·踏月玉灵,Function,月影,MoonShadow,18,0,0,0,0,0,0,0,0,0,残影,可范围伤害;可揭露,VFXJadespirit_MoonShadow,ICOJadespirit_MoonShadow,VO_Jadespirit_MoonShadow,月影还在。,残影持续、诱导范围、暴露时长、半拍层数,V2初版骨架；伤害/范围/持续待策划填数,True
Jadespirit_Defense,SKL_Jadespirit_ReturnMoon,CHRJadespirit,Rabbit,卯兔·踏月玉灵,Defense,回月,ReturnMoon,24,0,0,0,0,0,0,0,0,0,月影点;月闪后,可锁定;可预判,VFXJadespirit_ReturnMoon,ICOJadespirit_ReturnMoon,VO_Jadespirit_ReturnMoon,别追月，你追不上。,回退距离、净化类型、回复量、月闪加成,V2初版骨架；伤害/范围/持续待策划填数,True
AzureDragon_Attack,SKL_AzureDragon_ThunderJudge,CHRAzureDragon,Dragon,辰龙·御霄苍龙,Attack,雷裁,ThunderJudge,8,0,0,0,0,0,0,0,0,0,天印;连锁,可分散;可离开区域,VFXAzureDragon_ThunderJudge,ICOAzureDragon_ThunderJudge,VO_AzureDragon_ThunderJudge,雷，不会落空。,落雷半径、伤害系数、连锁次数、天印加成,V2初版骨架；伤害/范围/持续待策划填数,True
AzureDragon_Move,SKL_AzureDragon_WindRide,CHRAzureDragon,Dragon,辰龙·御霄苍龙,Move,御风,WindRide,12,0,0,0,0,0,0,0,0,0,队友路径,可封路;可减速,VFXAzureDragon_WindRide,ICOAzureDragon_WindRide,VO_AzureDragon_WindRide,风雷听令。,位移距离、队友加速、敌方突进削弱、持续时间,V2初版骨架；伤害/范围/持续待策划填数,True
AzureDragon_Control,SKL_AzureDragon_DragonPress,CHRAzureDragon,Dragon,辰龙·御霄苍龙,Control,龙压,DragonPress,20,0,0,0,0,0,0,0,0,0,天印;区域,可分散;可打断,VFXAzureDragon_DragonPress,ICOAzureDragon_DragonPress,VO_AzureDragon_DragonPress,此域，由我定衡。,推拉距离、麻痹时长、范围、前摇,V2初版骨架；伤害/范围/持续待策划填数,True
AzureDragon_Function,SKL_AzureDragon_DragonDomain,CHRAzureDragon,Dragon,辰龙·御霄苍龙,Function,龙域,DragonDomain,34,0,0,0,0,0,0,0,0,0,风云雷印,可离开区域;可分散,VFXAzureDragon_DragonDomain,ICOAzureDragon_DragonDomain,VO_AzureDragon_DragonDomain,天象已定。,领域半径、持续时间、切换间隔、联动强度,V2初版骨架；伤害/范围/持续待策划填数,True
AzureDragon_Defense,SKL_AzureDragon_CloudGuard,CHRAzureDragon,Dragon,辰龙·御霄苍龙,Defense,云护,CloudGuard,26,0,0,0,0,0,0,0,0,0,龙域内,可burst;可离开区域,VFXAzureDragon_CloudGuard,ICOAzureDragon_CloudGuard,VO_AzureDragon_CloudGuard,云随我行。,护盾值、远程减伤、队友半径、龙域加成,V2初版骨架；伤害/范围/持续待策划填数,True
Umbrascale_Attack,SKL_Umbrascale_VenomFang,CHRUmbrascale,Snake,巳蛇·幽鳞玄蛇,Attack,毒牙,VenomFang,6,0,0,0,0,0,0,0,0,0,叠毒;治疗中,可净化;可驱散,VFXUmbrascale_VenomFang,ICOUmbrascale_VenomFang,VO_Umbrascale_VenomFang,剂量刚好。,毒伤系数、叠毒层数、重伤比例、持续时间,V2初版骨架；伤害/范围/持续待策划填数,True
Umbrascale_Move,SKL_Umbrascale_SerpentSlither,CHRUmbrascale,Snake,巳蛇·幽鳞玄蛇,Move,蛇行,SerpentSlither,11,0,0,0,0,0,0,0,0,0,毒纹;狭窄路径,可绕行;可位移,VFXUmbrascale_SerpentSlither,ICOUmbrascale_SerpentSlither,VO_Umbrascale_SerpentSlither,每一步，都是我的鳞纹。,滑行距离、毒纹加速、延长时间、转向限制,V2初版骨架；伤害/范围/持续待策划填数,True
Umbrascale_Control,SKL_Umbrascale_CoilMark,CHRUmbrascale,Snake,巳蛇·幽鳞玄蛇,Control,缠纹,CoilMark,16,0,0,0,0,0,0,0,0,0,毒纹;停留,可绕行;可位移,VFXUmbrascale_CoilMark,ICOUmbrascale_CoilMark,VO_Umbrascale_CoilMark,别动，毒还没走完。,环半径、减速比例、缠足阈值、成熟时间,V2初版骨架；伤害/范围/持续待策划填数,True
Umbrascale_Function,SKL_Umbrascale_SealPath,CHRUmbrascale,Snake,巳蛇·幽鳞玄蛇,Function,封途,SealPath,22,0,0,0,0,0,0,0,0,0,毒路;成熟引爆,可绕行;可净化,VFXUmbrascale_SealPath,ICOUmbrascale_SealPath,VO_Umbrascale_SealPath,你以为你在追我？,路径长度、毒雾宽度、成熟时间、引爆伤害,V2初版骨架；伤害/范围/持续待策划填数,True
Umbrascale_Defense,SKL_Umbrascale_ShedScale,CHRUmbrascale,Snake,巳蛇·幽鳞玄蛇,Defense,蜕鳞,ShedScale,28,0,0,0,0,0,0,0,0,0,轻控制,可硬控;可burst,VFXUmbrascale_ShedScale,ICOUmbrascale_ShedScale,VO_Umbrascale_ShedScale,别靠太近，毒会记住你。,减伤比例、可清除控制类型、毒雾半径、持续时间,V2初版骨架；伤害/范围/持续待策划填数,True
Thunderhoof_Attack,SKL_Thunderhoof_ThunderSpear,CHRThunderhoof,Horse,午马·赤焰雷蹄,Attack,雷枪,ThunderSpear,6,0,0,0,0,0,0,0,0,0,奔雷速度;破阵,可减速;可封路,VFXThunderhoof_ThunderSpear,ICOThunderhoof_ThunderSpear,VO_Thunderhoof_ThunderSpear,挡路就撞开。,速度转伤害比例、破阵系数、突刺范围、护盾穿透,V2初版骨架；伤害/范围/持续待策划填数,True
Thunderhoof_Move,SKL_Thunderhoof_ThunderRun,CHRThunderhoof,Horse,午马·赤焰雷蹄,Move,奔雷,ThunderRun,13,0,0,0,0,0,0,0,0,0,直线;大弧线,可减速;可封路,VFXThunderhoof_ThunderRun,ICOThunderhoof_ThunderRun,VO_Thunderhoof_ThunderRun,快一点，再快一点！,加速曲线、最大速度、持续时间、转向衰减,V2初版骨架；伤害/范围/持续待策划填数,True
Thunderhoof_Control,SKL_Thunderhoof_HoofQuake,CHRThunderhoof,Horse,午马·赤焰雷蹄,Control,蹄震,HoofQuake,16,0,0,0,0,0,0,0,0,0,奔雷层数,可位移;可预判,VFXThunderhoof_HoofQuake,ICOThunderhoof_HoofQuake,VO_Thunderhoof_HoofQuake,谁需要开路？,震荡半径、击退距离、打断等级、奔雷加成,V2初版骨架；伤害/范围/持续待策划填数,True
Thunderhoof_Function,SKL_Thunderhoof_FirstArrival,CHRThunderhoof,Horse,午马·赤焰雷蹄,Function,先至,FirstArrival,26,0,0,0,0,0,0,0,0,0,濒危队友;战区,可误判;可封路,VFXThunderhoof_FirstArrival,ICOThunderhoof_FirstArrival,VO_Thunderhoof_FirstArrival,我赶上了。,锁定距离、赶援速度、护盾值、抵达判定,V2初版骨架；伤害/范围/持续待策划填数,True
Thunderhoof_Defense,SKL_Thunderhoof_TreadFormation,CHRThunderhoof,Horse,午马·赤焰雷蹄,Defense,踏阵,TreadFormation,24,0,0,0,0,0,0,0,0,0,冲锋期间,可控制打断;可减速,VFXThunderhoof_TreadFormation,ICOThunderhoof_TreadFormation,VO_Thunderhoof_TreadFormation,雷声未到，我先到了。,减伤比例、韧性、打断护盾、持续时间,V2初版骨架；伤害/范围/持续待策划填数,True
Jadehorn_Attack,SKL_Jadehorn_PureLight,CHRJadehorn,Goat,未羊·玉角灵铃,Attack,净光,PureLight,7,0,0,0,0,0,0,0,0,0,标记增伤,可驱散;可禁疗,VFXJadehorn_PureLight,ICOJadehorn_PureLight,VO_Jadehorn_PureLight,伤口会合上，心也会。,伤害系数、标记增伤、持续时间、队友触发次数,V2初版骨架；伤害/范围/持续待策划填数,True
Jadehorn_Move,SKL_Jadehorn_BellStep,CHRJadehorn,Goat,未羊·玉角灵铃,Move,铃步,BellStep,12,0,0,0,0,0,0,0,0,0,铃印;低血队友,可控制;可封路,VFXJadehorn_BellStep,ICOJadehorn_BellStep,VO_Jadehorn_BellStep,别离我太远。,移动距离、目标条件、抵达治疗、施法后摇,V2初版骨架；伤害/范围/持续待策划填数,True
Jadehorn_Control,SKL_Jadehorn_SoulCalm,CHRJadehorn,Goat,未羊·玉角灵铃,Control,安魂,SoulCalm,18,0,0,0,0,0,0,0,0,0,守愿目标;爆发,可硬控;可burst,VFXJadehorn_SoulCalm,ICOJadehorn_SoulCalm,VO_Jadehorn_SoulCalm,铃声未止，愿望未灭。,减速比例、爆发削弱、范围、持续时间,V2初版骨架；伤害/范围/持续待策划填数,True
Jadehorn_Function,SKL_Jadehorn_BellMark,CHRJadehorn,Goat,未羊·玉角灵铃,Function,铃印,BellMark,20,0,0,0,0,0,0,0,0,0,队友预判,可驱散;可禁疗,VFXJadehorn_BellMark,ICOJadehorn_BellMark,VO_Jadehorn_BellMark,我已经为你留下祈愿。,铃印持续、治疗增幅、可净化类型、触发冷却,V2初版骨架；伤害/范围/持续待策划填数,True
Jadehorn_Defense,SKL_Jadehorn_GuardVow,CHRJadehorn,Goat,未羊·玉角灵铃,Defense,守愿,GuardVow,42,0,0,0,0,0,0,0,0,0,致命伤害,可禁疗;可骗技能,VFXJadehorn_GuardVow,ICOJadehorn_GuardVow,VO_Jadehorn_GuardVow,这一次，不准倒下。,免死阈值、护盾值、回复量、守愿持续、冷却,V2初版骨架；伤害/范围/持续待策划填数,True
Spiritmonkey_Attack,SKL_Spiritmonkey_TrickStaff,CHRSpiritmonkey,Monkey,申猴·灵猴戏圣,Attack,戏棍,TrickStaff,5,0,0,0,0,0,0,0,0,0,换位后;假身骗招,可揭露;可硬控,VFXSpiritmonkey_TrickStaff,ICOSpiritmonkey_TrickStaff,VO_Spiritmonkey_TrickStaff,掌声呢？,基础伤害、换位加成、背击角度、追加次数,V2初版骨架；伤害/范围/持续待策划填数,True
Spiritmonkey_Move,SKL_Spiritmonkey_Somersault,CHRSpiritmonkey,Monkey,申猴·灵猴戏圣,Move,筋斗,Somersault,10,0,0,0,0,0,0,0,0,0,假身附近;低矮障碍,可揭露;可控制,VFXSpiritmonkey_Somersault,ICOSpiritmonkey_Somersault,VO_Spiritmonkey_Somersault,这边？那边？,跳跃距离、地形越过高度、假身延长、落地后摇,V2初版骨架；伤害/范围/持续待策划填数,True
Spiritmonkey_Control,SKL_Spiritmonkey_Distract,CHRSpiritmonkey,Monkey,申猴·灵猴戏圣,Control,扰心,Distract,14,0,0,0,0,0,0,0,0,0,假身附近,可揭露;可冷静观察,VFXSpiritmonkey_Distract,ICOSpiritmonkey_Distract,VO_Spiritmonkey_Distract,打错啦！,减速比例、锁定扰乱时长、失衡触发条件,V2初版骨架；伤害/范围/持续待策划填数,True
Spiritmonkey_Function,SKL_Spiritmonkey_HundredTricks,CHRSpiritmonkey,Monkey,申猴·灵猴戏圣,Function,百戏,HundredTricks,24,0,0,0,0,0,0,0,0,0,假身;换位,可揭露;可范围伤害,VFXSpiritmonkey_HundredTricks,ICOSpiritmonkey_HundredTricks,VO_Spiritmonkey_HundredTricks,好戏开场，别眨眼！,假身数量、持续时间、模拟行为等级、换位距离,V2初版骨架；伤害/范围/持续待策划填数,True
Spiritmonkey_Defense,SKL_Spiritmonkey_Decoy,CHRSpiritmonkey,Monkey,申猴·灵猴戏圣,Defense,替身,Decoy,28,0,0,0,0,0,0,0,0,0,假身存在,可揭露;可burst,VFXSpiritmonkey_Decoy,ICOSpiritmonkey_Decoy,VO_Spiritmonkey_Decoy,你很认真，可惜我不是我。,触发窗口、换位距离、减伤比例、破锁类型,V2初版骨架；伤害/范围/持续待策划填数,True
Dawncall_Attack,SKL_Dawncall_DawnBreak,CHRDawncall,Rooster,酉鸡·金翎晨鸣,Attack,破晓,DawnBreak,7,0,0,0,0,0,0,0,0,0,揭露;伪装;分身,可正面拼;可保护,VFXDawncall_DawnBreak,ICODawncall_DawnBreak,VO_Dawncall_DawnBreak,我看见你了。,伤害系数、揭露加成、延长显形、飞行速度,V2初版骨架；伤害/范围/持续待策划填数,True
Dawncall_Move,SKL_Dawncall_DawnStep,CHRDawncall,Rooster,酉鸡·金翎晨鸣,Move,鸣步,DawnStep,12,0,0,0,0,0,0,0,0,0,暗迹;揭露目标,可封路;可追击限制,VFXDawncall_DawnStep,ICODawncall_DawnStep,VO_Dawncall_DawnStep,此处有暗迹。,移动距离、视野半径、暗迹锁定角度、持续时间,V2初版骨架；伤害/范围/持续待策划填数,True
Dawncall_Control,SKL_Dawncall_DawnShock,CHRDawncall,Rooster,酉鸡·金翎晨鸣,Control,鸣震,DawnShock,18,0,0,0,0,0,0,0,0,0,隐藏;刚显形,可正面坦克;可空放惩罚,VFXDawncall_DawnShock,ICODawncall_DawnShock,VO_Dawncall_DawnShock,虚影退场。,扇形角度、沉默时长、破相范围、前摇,V2初版骨架；伤害/范围/持续待策划填数,True
Dawncall_Function,SKL_Dawncall_MorningCall,CHRDawncall,Rooster,酉鸡·金翎晨鸣,Function,晨鸣,MorningCall,30,0,0,0,0,0,0,0,0,0,区域揭露,可骗空;可分散,VFXDawncall_MorningCall,ICODawncall_MorningCall,VO_Dawncall_MorningCall,晨鸣已至，阴影退场。,揭露半径、持续时间、陷阱显示、预警频率,V2初版骨架；伤害/范围/持续待策划填数,True
Dawncall_Defense,SKL_Dawncall_GoldenFeather,CHRDawncall,Rooster,酉鸡·金翎晨鸣,Defense,金羽,GoldenFeather,24,0,0,0,0,0,0,0,0,0,隐藏偷袭,可持续输出;可burst,VFXDawncall_GoldenFeather,ICODawncall_GoldenFeather,VO_Dawncall_GoldenFeather,假黎明，瞒不过我。,护盾值、反显形持续、隐藏伤害判定、队友半径,V2初版骨架；伤害/范围/持续待策划填数,True
Skyhound_Attack,SKL_Skyhound_CounterBite,CHRSkyhound,Dog,戌狗·守阙天犬,Attack,反咬,CounterBite,6,0,0,0,0,0,0,0,0,0,威胁目标;誓约,可侧绕;可远程,VFXSkyhound_CounterBite,ICOSkyhound_CounterBite,VO_Skyhound_CounterBite,不准靠近他。,伤害系数、伤害削弱、威胁标记时长、触发次数,V2初版骨架；伤害/范围/持续待策划填数,True
Skyhound_Move,SKL_Skyhound_AidStep,CHRSkyhound,Dog,戌狗·守阙天犬,Move,援步,AidStep,12,0,0,0,0,0,0,0,0,0,誓约对象,可侧绕;不可全图,VFXSkyhound_AidStep,ICOSkyhound_AidStep,VO_Skyhound_AidStep,退到我身后。,冲刺距离、目标选择、抵达护盾、穿越限制,V2初版骨架；伤害/范围/持续待策划填数,True
Skyhound_Control,SKL_Skyhound_GateBlock,CHRSkyhound,Dog,戌狗·守阙天犬,Control,拦门,GateBlock,16,0,0,0,0,0,0,0,0,0,突进;撞盾,可侧绕;可远程,VFXSkyhound_GateBlock,ICOSkyhound_GateBlock,VO_Skyhound_GateBlock,越过我之前，先问问这面盾。,阻挡宽度、眩晕时长、打断优先级、盾门持续,V2初版骨架；伤害/范围/持续待策划填数,True
Skyhound_Function,SKL_Skyhound_Oath,CHRSkyhound,Dog,戌狗·守阙天犬,Function,誓约,Oath,20,0,0,0,0,0,0,0,0,0,指定队友,可选错对象;可切换冷却,VFXSkyhound_Oath,ICOSkyhound_Oath,VO_Skyhound_Oath,守护不是选择，是誓约。,切换冷却、链接距离、威胁标记时间、收益上限,V2初版骨架；伤害/范围/持续待策划填数,True
Skyhound_Defense,SKL_Skyhound_GuardMaster,CHRSkyhound,Dog,戌狗·守阙天犬,Defense,护主,GuardMaster,36,0,0,0,0,0,0,0,0,0,誓约对象;关键伤害,可多点爆发;可绕开,VFXSkyhound_GuardMaster,ICOSkyhound_GuardMaster,VO_Skyhound_GuardMaster,我在，门就在。,吸收量、分伤比例、持续时间、关键伤害判定,V2初版骨架；伤害/范围/持续待策划填数,True
Darkmane_Attack,SKL_Darkmane_RageHammer,CHRDarkmane,Pig,亥猪·岩甲玄鬃,Attack,怒锤,RageHammer,7,0,0,0,0,0,0,0,0,0,承伤后;低血,可风筝;可满血反制,VFXDarkmane_RageHammer,ICODarkmane_RageHammer,VO_Darkmane_RageHammer,你们打够了吗？该我了。,伤害系数、承伤转化、低血倍率、范围上限,V2初版骨架；伤害/范围/持续待策划填数,True
Darkmane_Move,SKL_Darkmane_TuskCharge,CHRDarkmane,Pig,亥猪·岩甲玄鬃,Move,獠撞,TuskCharge,14,0,0,0,0,0,0,0,0,0,低血;直线,可侧移;可减速,VFXDarkmane_TuskCharge,ICODarkmane_TuskCharge,VO_Darkmane_TuskCharge,路不通？撞开。,冲撞距离、击退强度、低血阈值、碰墙震荡,V2初版骨架；伤害/范围/持续待策划填数,True
Darkmane_Control,SKL_Darkmane_ManeQuake,CHRDarkmane,Pig,亥猪·岩甲玄鬃,Control,震鬃,ManeQuake,16,0,0,0,0,0,0,0,0,0,近身;岩甲护盾,可远程;可风筝,VFXDarkmane_ManeQuake,ICODarkmane_ManeQuake,VO_Darkmane_ManeQuake,再来两下。,减速比例、击退条件、范围、持续时间,V2初版骨架；伤害/范围/持续待策划填数,True
Darkmane_Function,SKL_Darkmane_ManeRoar,CHRDarkmane,Pig,亥猪·岩甲玄鬃,Function,鬃吼,ManeRoar,24,0,0,0,0,0,0,0,0,0,承伤;围攻,可不接战;可分散,VFXDarkmane_ManeRoar,ICODarkmane_ManeRoar,VO_Darkmane_ManeRoar,玄鬃在前，后面跟紧！,战意获取、队友减伤、威胁范围、持续时间,V2初版骨架；伤害/范围/持续待策划填数,True
Darkmane_Defense,SKL_Darkmane_RockArmor,CHRDarkmane,Pig,亥猪·岩甲玄鬃,Defense,岩甲,RockArmor,34,0,0,0,0,0,0,0,0,0,低血;承伤,可禁疗;可真实伤害;可风筝,VFXDarkmane_RockArmor,ICODarkmane_RockArmor,VO_Darkmane_RockArmor,还没倒，别急。,护盾值、低血减伤、破裂震荡、恢复比例,V2初版骨架；伤害/范围/持续待策划填数,True
